0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
71,71,71,70,68,66,65,64,63,61,60,61,71,68,68,70,69,66,63,62,63,63,62,61,70,66,66,71,71,65,62,64,66,68,67,64,69,65,66,73,73,66,63,67,68,72,72,69,70,68,68,69,68,65,66,69,65,66,67,67,70,67,65,67,67,65,63,65,62,60,62,65,71,67,65,66,67,64,62,61,61,59,60,62,70,68,66,67,66,64,62,61,62,64,64,60,68,67,67,66,65,63,62,62,61,65,66,63,65,65,65,64,63,62,62,63,59,61,64,67,65,64,63,63,63,64,65,65,59,60,62,64,66,64,62,62,65,67,67,66,62,64,63,59,2
63,63,65,67,66,64,61,61,64,65,66,69,60,62,64,66,65,63,59,60,62,61,61,65,63,64,64,62,62,62,61,62,63,59,59,64,67,67,64,59,59,62,64,66,65,61,61,66,65,63,61,60,62,63,63,65,64,60,60,66,64,60,60,63,65,65,64,63,64,63,64,67,60,58,60,66,67,68,66,64,67,68,66,66,58,60,63,65,65,66,65,65,67,65,61,60,61,62,64,64,62,61,61,62,63,58,54,56,66,63,62,62,64,62,60,61,61,56,54,58,65,63,62,62,66,64,61,61,63,61,58,59,60,64,65,62,64,63,60,60,64,64,59,56,2
67,61,56,57,61,61,60,63,62,59,58,61,68,63,59,61,63,60,58,62,59,59,60,63,69,64,61,62,63,58,58,64,59,59,62,64,70,65,61,62,61,57,59,68,61,60,62,64,67,61,59,62,62,58,57,60,61,60,62,62,65,61,59,60,61,59,59,63,63,61,62,62,64,62,61,61,60,60,62,65,62,60,60,62,63,64,64,62,61,62,63,64,60,57,59,63,60,62,64,63,62,62,62,62,58,57,60,64,56,58,61,62,62,61,60,59,59,58,61,65,57,58,59,61,62,61,59,58,61,59,62,65,62,60,60,62,62,60,59,58,61,59,61,64,2
63,63,62,62,64,62,60,56,54,59,66,68,63,61,61,63,63,63,63,60,58,62,65,64,63,59,59,62,63,64,66,64,62,64,65,61,62,58,58,61,66,67,68,66,64,66,66,62,59,57,59,59,62,65,65,61,61,64,64,62,59,58,59,59,60,62,62,59,59,61,63,63,60,60,61,61,58,59,60,59,59,60,61,63,63,63,64,62,59,59,61,62,61,59,60,62,65,65,64,62,63,62,62,63,61,58,58,62,65,64,63,60,66,64,62,61,58,56,58,62,64,62,62,61,64,64,63,61,59,58,60,62,62,62,63,63,61,63,65,64,62,61,61,62,2
64,62,61,61,61,59,59,61,62,65,64,62,65,63,61,60,59,60,61,62,61,64,66,64,64,65,63,60,60,62,62,60,60,60,64,63,63,66,65,62,61,63,61,57,58,56,60,61,60,59,60,63,64,63,60,59,58,61,63,63,62,62,62,63,62,60,59,60,61,63,64,65,63,63,62,62,60,58,60,62,64,64,65,65,63,62,61,61,60,60,61,64,65,64,64,64,63,61,61,62,63,62,62,62,62,62,64,65,63,62,62,63,64,63,61,59,59,60,64,68,62,61,63,65,65,63,61,60,59,58,61,67,59,60,63,65,64,62,62,63,61,57,57,62,2
63,62,62,65,63,59,61,66,64,61,64,68,61,61,63,65,62,59,61,63,62,62,63,63,58,60,63,61,61,62,65,64,61,62,64,62,56,59,62,57,60,67,72,67,61,63,66,64,61,60,58,58,59,65,69,67,62,60,62,64,64,63,60,59,60,63,65,64,63,62,63,63,65,64,62,61,60,61,61,61,62,64,64,63,63,62,62,63,60,60,59,59,61,64,64,62,64,61,61,63,60,60,60,59,60,63,63,62,67,63,61,62,61,61,61,60,60,62,63,62,68,65,62,61,62,62,61,60,62,64,64,62,67,66,63,62,63,61,60,60,63,65,64,62,2
68,66,65,67,68,65,63,63,62,63,65,65,64,63,63,66,67,64,62,60,58,62,65,65,63,61,61,63,64,63,61,60,59,62,63,63,65,63,61,61,61,61,61,61,62,63,63,61,63,63,63,63,63,63,62,60,60,61,63,64,67,67,66,64,64,65,64,61,61,62,65,65,69,70,68,64,64,66,66,64,62,63,65,65,66,67,65,61,62,66,68,65,62,61,62,63,61,62,61,59,61,66,68,67,63,61,61,63,60,60,59,59,61,65,67,67,64,62,63,65,61,60,59,60,62,62,63,64,64,64,66,69,63,60,60,61,62,60,59,60,63,65,68,71,2
64,63,63,63,65,68,66,65,70,75,77,78,64,63,63,63,64,69,68,65,70,76,76,77,63,63,63,62,62,67,67,67,74,77,76,77,62,63,62,60,58,63,65,69,77,78,76,79,61,58,61,66,73,70,72,77,80,79,78,78,62,59,63,69,72,71,71,73,77,80,79,77,62,59,63,70,72,72,71,70,74,79,78,75,62,60,63,69,73,73,72,70,72,75,75,72,63,63,65,68,74,74,74,73,72,71,71,70,67,66,67,70,75,75,75,75,74,72,70,70,69,67,69,73,74,75,74,73,75,77,74,70,69,66,69,75,74,74,72,70,75,81,79,71,2
76,73,75,75,73,78,83,78,72,72,71,72,76,73,73,73,73,78,81,78,74,73,73,73,77,75,73,72,74,77,78,76,76,73,72,73,79,77,74,72,75,77,75,74,77,72,69,71,79,75,72,73,75,74,73,72,75,73,72,74,75,74,73,74,75,75,75,75,76,75,74,75,72,74,75,75,75,75,75,76,74,74,74,73,72,75,78,76,74,74,74,74,73,73,73,72,72,75,78,77,75,73,73,73,74,74,73,73,72,73,75,77,76,74,73,74,75,72,71,73,74,71,72,76,77,74,73,74,76,71,70,72,76,71,70,75,78,74,72,74,79,73,71,74,2
73,72,72,72,74,77,76,72,70,72,72,71,73,71,70,70,72,75,73,70,71,73,74,75,73,72,70,70,71,73,71,70,72,73,74,76,74,74,73,72,72,73,71,71,73,72,72,75,74,74,76,78,76,75,75,74,74,74,72,71,75,76,76,77,77,77,75,75,74,74,74,73,74,75,75,74,78,76,75,74,74,74,74,74,73,74,74,73,76,74,73,73,73,73,72,72,75,76,76,76,75,73,73,75,75,72,71,71,74,75,76,77,76,74,74,76,76,73,71,71,74,73,74,77,77,74,74,76,75,72,70,71,75,73,74,78,77,74,73,74,73,70,69,70,2
